Ticker,Name,Region
JARIX US,JAMES ALPHA GL REAL EST-I,GLBL
FSREX US,FIDELITY SER REAL ESTATE,US
JAREX US,SARATOGA JAMES ALPHA GLB R/E,GLBL
EIIGX US,EII GLOBAL PROPERTY FUND-IN,GLBL
FIREX US,FIDELITY INTL REAL ESTATE,INTL
FIRAX US,FIDELITY ADV INTER REAL E-A,INTL
IIRAX US,VOYA INTL REAL ESTATE-A,INTL
VGRNX US,VANGUARD GL X-US RL EST-INST,INTL
PUEAX US,PRUDENTIAL INTL REAL EST-A,INTL
MSUAX US,MSIF-INTL REAL ESTATE-I,INTL
IRFAX US,COHEN & STEERS INTERN RLTY-A,INTL
EGLRX US,ALPINE INTL REAL ESTATE-I,INTL
EUEYX US,ALPINE CYCLICAL ADVANTG PROP,GLBL
EIIPX US,EII INTERNATIONAL PROPERTY-I,INTL
ENCPX US,ENCOMPASS FUND,INTL
SRPIX US,PROFUNDS SHORT REAL EST-INV,OTHER
RAAAX US,ALTEGRIS/AACA RE EST L/S-A,OTHER
REIFX US,REMS INTL REAL ESTATE VAL-FO,INTL
GURAX US,GUGGENHEIM RSK MGD R/E-A,US
AIRPX US,AR CAP GLBL REAL ESTATE-ADV,GLBL
SREAX US,PRUDENTIAL SEL REAL EST-A,GLBL
SSRLX US,STATE STR CLAR GL R/E INC-A,GLBL
